A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2016-01-01 00:00,2016,1,1,0,231,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 01:00,2016,1,1,1,239,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 02:00,2016,1,1,2,205,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 03:00,2016,1,1,3,167,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 04:00,2016,1,1,4,132,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 05:00,2016,1,1,5,169,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 06:00,2016,1,1,6,162,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 07:00,2016,1,1,7,123,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 08:00,2016,1,1,8,100,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 09:00,2016,1,1,9,101,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 10:00,2016,1,1,10,111,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 11:00,2016,1,1,11,115,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 12:00,2016,1,1,12,135,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 13:00,2016,1,1,13,165,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 14:00,2016,1,1,14,176,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 15:00,2016,1,1,15,187,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 16:00,2016,1,1,16,207,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 17:00,2016,1,1,17,235,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 18:00,2016,1,1,18,268,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 19:00,2016,1,1,19,302,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 20:00,2016,1,1,20,330,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 21:00,2016,1,1,21,345,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 22:00,2016,1,1,22,375,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-01 23:00,2016,1,1,23,400,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 00:00,2016,1,2,0,362,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 01:00,2016,1,2,1,321,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 02:00,2016,1,2,2,230,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 03:00,2016,1,2,3,225,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 04:00,2016,1,2,4,198,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 05:00,2016,1,2,5,191,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 06:00,2016,1,2,6,199,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 07:00,2016,1,2,7,206,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 08:00,2016,1,2,8,230,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 09:00,2016,1,2,9,279,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 10:00,2016,1,2,10,199,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 11:00,2016,1,2,11,220,µg/m³,1 Hr,Valid
Beijing,PM2.5,2016-01-02 12:00,2016,1,2,12,222,µg/m³,1 Hr,Valid
